file,SDR,SI-SDR,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,P808_MOS
mixed_5dB.wav,2.9756197929382324,2.9699082374572754,1.4658701,1.2806704,4.336345,3.1530445,2.823355,2.4932897
mixed_-5dB.wav,-7.030280113220215,-7.05328893661499,0.62710625,1.3598801,2.7404134,1.2215953,1.4246714,2.2906284
mixed_0dB.wav,-2.0285773277282715,-2.038438081741333,0.8638721,1.3350178,3.543309,2.0610635,1.8967838,2.4326723
mixed_10dB.wav,7.978998184204102,7.974597930908203,2.2256916,1.3430564,4.4287014,3.637326,3.289922,2.8632405
