,file,SDR,SI-SDR,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,P808_MOS
0,mixed_10dB_DeepFilterNet3.wav,14.971176147460938,14.806463241577148,4.4993486,4.2330546,4.5340347,4.262223,4.432996,3.9902134
1,mixed_-5dB_DeepFilterNet3.wav,2.1352415084838867,1.1375336647033691,2.8271754,2.7807465,3.5589013,3.2082727,3.495159,3.3607442
2,mixed_5dB_DeepFilterNet3.wav,11.31989574432373,11.096473693847656,4.249021,4.0647273,4.4101715,4.217672,4.344702,3.8243823
3,mixed_0dB_DeepFilterNet3.wav,7.25056791305542,6.8190460205078125,3.5830634,3.1076086,4.2193975,3.9497182,4.022005,3.402583
